run_id,run_url,ran_at_utc,commit_sha,fault_profile,fault_magnitude,target_category,iteration,scenario_name,outcome,duration_seconds
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:33Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,5,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,4.372
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:33Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,5,LogoutFunctionality,Passed,5.646
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:33Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,5,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,8.817
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:52:33Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,5,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,6.53
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:04Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,6,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.697
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:04Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,6,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,7.515
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:04Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,6,LogoutFunctionality,Passed,5.464
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:04Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,6,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,4.374
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:04Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,6,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,5.661
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:34Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,7,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,5.638
